alamat,harga,kamar_tidur,bangunan,lahan,kamar_mandi,sistem_alarm,gym,internet_broadband_wifi,tv_kabel,pemanas_ruangan,air_panas,telepon,tv,kitchen_set,garasi,secure_parking,kolam_renang,lapangan_tenis,balkon,dek,halaman_terbuka,area_hiburan_outdoor,pagar_penuh,taman,keamanan_24_jam,taman_bermain_anak
Yogyakarta,980000000,2,66,92,2,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N
Jetis,1700000000,4,140,500,5,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y
Mergangsan,4500000000,4,350,230,4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y
Mantrijeron,1350000000,3,65,90,3,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N
Umbulharjo,1500000000,4,260,151,3,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N
Mantrijeron,569000000,2,50,80,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,5500000000,18,250,209,18,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,725000000,8,200,100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Gondokusuman,17000000000,21,700,1430,23,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Pakualaman,25000000000,4,500,1109,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Yogyakarta,2750000000,4,375,224,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Umbulharjo,1200000000,3,120,80,2,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N
Yogyakarta,5700000000,8,200,1000,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Wirobrajan,3500000000,3,170,402,3,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N
Kotagede,825000000,3,52,97,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
