alamat,harga,kamar_tidur,bangunan,lahan,kamar_mandi,sistem_alarm,gym,internet_broadband_wifi,tv_kabel,pemanas_ruangan,air_panas,telepon,tv,kitchen_set,garasi,secure_parking,kolam_renang,lapangan_tenis,balkon,dek,halaman_terbuka,area_hiburan_outdoor,pagar_penuh,taman,keamanan_24_jam,taman_bermain_anak,latitude,longitude
Yogyakarta,980000000,2,66,92,2,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Jetis,1700000000,4,140,500,5,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,-8.0351266,110.4908351
Mergangsan,4500000000,4,350,230,4,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,-7.8147344,110.372558
Mantrijeron,1350000000,3,65,90,3,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,-7.81806785,110.3597226
Umbulharjo,1500000000,4,260,151,3,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8143777,110.3873737
Mantrijeron,569000000,2,50,80,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81806785,110.3597226
Yogyakarta,5500000000,18,250,209,18,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Yogyakarta,725000000,8,200,100,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Gondokusuman,17000000000,21,700,1430,23,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78674395,110.3809996
Pakualaman,25000000000,4,500,1109,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.80043375,110.3762266
Yogyakarta,2750000000,4,375,224,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Umbulharjo,1200000000,3,120,80,2,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,N,-7.8143777,110.3873737
Yogyakarta,5700000000,8,200,1000,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Wirobrajan,3500000000,3,170,402,3,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,N,-7.8026238,110.3504467
Kotagede,825000000,3,52,97,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.81831055,110.3979409
Mantrijeron,1671790000,3,70,93,1,N,N,Y,Y,N,Y,Y,Y,Y,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,-7.81806785,110.3597226
Mantrijeron,885000000,3,57,125,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.81806785,110.3597226
Yogyakarta,850000000,2,40,66,2,N,N,N,N,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Kotagede,3114900000,3,135,166,3,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,Y,Y,N,-7.81831055,110.3979409
Wirobrajan,1248600000,2,65,93,1,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,-7.8026238,110.3504467
Wirobrajan,2970000000,5,232,143,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Umbulharjo,8000000000,21,500,893,7,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Tegalrejo,7200000000,32,343,695,7,N,N,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.78045495,110.355073
Wirobrajan,450191919,3,59,84,1,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,N,N,Y,Y,Y,Y,N,Y,-7.8026238,110.3504467
Pakualaman,4500000000,4,235,354,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.80043375,110.3762266
Gondomanan,3877000000,3,142,204,3,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,-7.80239475,110.3661123
Umbulharjo,675000000,3,90,114,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Yogyakarta,485000000,3,60,180,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Wirobrajan,1666800000,2,65,134,1,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,-7.8026238,110.3504467
Mantrijeron,2756000000,4,120,148,3,N,N,Y,N,N,Y,Y,N,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,Y,N,-7.81806785,110.3597226
Gondokusuman,2800000000,4,199,212,3,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,-7.78674395,110.3809996
Mergangsan,3877000000,3,142,204,3,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,N,-7.8147344,110.372558
Umbulharjo,1340000000,3,93,108,3,N,N,N,N,N,N,N,N,N,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,-7.8143777,110.3873737
Gedong Tengen,1800000000,2,62,86,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.7892366,110.3589977
Mergangsan,1150000000,3,90,136,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Umbulharjo,425000000,2,45,85,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,1850000000,4,175,125,2,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,-7.8143777,110.3873737
Yogyakarta,752000000,2,47,90,1,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Wirobrajan,3700000000,3,402,173,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Wirobrajan,1585200000,2,65,126,1,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,Y,N,-7.8026238,110.3504467
Gondokusuman,6500000000,4,200,286,4,N,N,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N,Y,Y,N,N,-7.78674395,110.3809996
Tegalrejo,1400000000,5,120,120,2,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,Y,N,-7.78045495,110.355073
Gondokusuman,4100000000,5,900,677,5,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N,N,Y,N,Y,N,-7.78674395,110.3809996
Gondokusuman,24000000000,8,450,842,3,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,Y,Y,N,N,-7.78674395,110.3809996
Umbulharjo,1750000000,5,216,172,3,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,-7.8143777,110.3873737
Tegalrejo,1100000000,4,150,230,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N,-7.78045495,110.355073
Jetis,4900000000,5,350,224,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-8.0351266,110.4908351
Kraton,550000000,3,64,98,2,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,-7.8087986,110.3627263
Umbulharjo,3000000000,6,300,440,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Umbulharjo,1190000000,3,140,144,4,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,-7.8143777,110.3873737
Kotagede,1330000000,3,93,108,2,N,N,N,N,N,N,N,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,-7.81831055,110.3979409
Mergangsan,2200000000,2,112,123,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8147344,110.372558
Mergangsan,7800000000,11,300,1152,11,N,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,-7.8147344,110.372558
Wirobrajan,600000000,2,80,134,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8026238,110.3504467
Umbulharjo,2200000000,5,280,228,4,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,-7.8143777,110.3873737
Pakualaman,4800000000,4,250,547,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.80043375,110.3762266
Ngampilan,560000000,5,140,70,2,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,-7.80218335,110.3576025
Yogyakarta,2685000000,3,135,331,3,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
Kotagede,698000000,2,40,111,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,-7.81831055,110.3979409
Yogyakarta,900000000,3,86,96,2,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,-7.8011945,110.364917
Yogyakarta,6000000000,7,540,405,5,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,-7.8011945,110.364917
